source         target          sign
melt           eIF3-S10        -
melt           RpL7A           -
melt           RpS11           -
melt           RpL10Ab         -
melt           RpL21           -
Pi3K92E        Iswi            -
Pi3K92E        CG3605          +
Pi3K92E        CG1542          +
Pi3K92E        fs(1)h          -
Pi3K92E        Prp8            +
Pi3K92E        ptip            -
Pi3K92E        Hrb98DE         +
Pi3K92E        hyd             +
Pi3K92E        SF2             +
Pi3K92E        CG6418          -
Pi3K92E        Mi-2            -
Pi3K92E        Pvr             +
Pi3K92E        Ef1gamma        +
Pi3K92E        pont            -
Pi3K92E        Hsc70-4         +
Pi3K92E        ebi             +
Pi3K92E        CG34422         -
Pi3K92E        CG4266          -
Pi3K92E        Gp93            +
Pi3K92E        rept            -
Pi3K92E        glo             +
S6kII          CG3605          +
S6kII          CG7033          -
S6kII          RpL15           -
S6kII          glo             -
S6kII          Prp8            +
S6kII          RpL18A          -
S6kII          Hsp83           +
S6kII          AGO2            -
S6kII          mre11           -
S6kII          Rm62            -
S6kII          RpL13           -
S6kII          RpL4            -
S6kII          sqd             -
S6kII          Hrb27C          -
S6kII          RpL26           -
S6kII          Droj2           +
S6kII          eIF-4E          +
S6kII          CG34422         -
S6kII          RpS11           -
S6kII          RpL21           -
S6kII          eIF-4a          -
S6kII          Caf1            -
S6kII          Act5C           -
S6kII          Prp19           -
S6kII          RpL35A          -
S6kII          Hsc70-1         -
S6kII          nsl1            +
S6kII          pAbp            -
S6kII          eIF6            +
S6kII          RpS6            -
S6kII          RpL17           -
S6kII          Ref1            +
S6kII          RpL7            -
S6kII          RfC4            -
S6kII          Smr             +
Tsc1           qkr58E-3        -
Tsc1           beta'COP        -
Tsc1           Hsc70-3         -
Tsc1           pAbp            +
Tsc1           SF2             -
Tsc1           alphaCOP        -
Tsc1           dom             -
Tsc1           RpL18A          +
Tsc1           osa             -
Tsc1           Ef1alpha48D     -
Tsc1           rump            -
Tsc1           RpL26           +
Tsc1           RpL6            +
Tsc1           MTA1-like       +
Tsc1           Nnp-1           +
Tsc1           Saf-B           -
Tsc1           CG13900         -
Tsc1           Rpd3            +
Tsc1           CG6197          +
Tsc1           RpLP0           +
Tsc1           Snr1            -
Tsc1           Spx             +
Tsc1           RpL18           +
Tsc1           alt             -
Tsc1           Zn72D           -
Tsc1           qkr58E-2        +
Tsc1           Rrp6            +
Tsc1           RpL7            +
Tsc1           RpL19           +
Tsc1           T-cp1           -
Tsc1           Smr             +
Tsc1           RpL3            +
Tsc1           Dcr-2           -
Tsc1           MED26           +
Tsc1           CG5641          -
Tsc1           CG9143          -
Tsc1           Ref1            -
Tsc1           E(bx)           +
Tsc1           Cdc5            -
Tsc1           Rm62            -
Tsc1           RpL4            +
Tsc1           Hrb27C          +
Tsc1           hyd             +
Tsc1           Fib             +
Tsc1           alphaTub84D     -
Tsc1           RpL8            +
Tsc1           CG2807          +
Tsc1           RpL21           +
Tsc1           Caf1            +
Tsc1           RpL13A          +
Tsc1           CG6418          +
Tsc1           Hsp68           -
Tsc1           betaTub60D      -
Tsc1           RpS9            +
Tsc1           RpL30           +
Tsc1           RfC4            -
Tsc1           Hrb98DE         +
Pi3K21B        Hsc70-4         +
Thor           eIF3-S10        +
Thor           RpL15           +
Thor           Nnp-1           -
Thor           CG13097         -
Thor           MED17           +
Thor           zip             +
Thor           CG6937          -
Thor           RpL13           +
Thor           RpL4            +
Thor           sqd             +
Thor           Ef1gamma        -
Thor           SF2             +
Thor           RpS11           +
Thor           eIF3-S9         +
Thor           RpS8            +
Thor           CG7185          -
Thor           RpL14           +
Thor           pAbp            +
Thor           Hsp83           +
Thor           RpL18A          +
Thor           CG4364          -
Thor           Fmr1            -
Thor           betaTub60D      +
Thor           RpS3A           +
Thor           Pp2A-29B        +
Thor           Mes2            +
Pdk1           Nc73EF          +
Pdk1           beta'COP        +
Pdk1           Hsc70-3         +
Pdk1           Aats-glupro     +
Pdk1           alphaCOP        +
Pdk1           MBD-R2          -
Pdk1           RpS13           +
Pdk1           CG8636          +
Pdk1           osa             +
Pdk1           Nup98-96        +
Pdk1           rump            +
Pdk1           Droj2           +
Pdk1           RpL6            +
Pdk1           MTA1-like       -
Pdk1           l(1)G0020       +
Pdk1           SF2             +
Pdk1           eIF-4E          +
Pdk1           MED1            +
Pdk1           polybromo       +
Pdk1           betaTub56D      +
Pdk1           RpL23           +
Pdk1           glo             -
Pdk1           Ns2             +
Pdk1           Saf-B           +
Pdk1           RpS8            +
Pdk1           Mcm6            +
Pdk1           RpLP0           +
Pdk1           CG7911          -
Pdk1           Arf79F          +
Pdk1           Hsc70-1         +
Pdk1           alt             +
Pdk1           Zn72D           +
Pdk1           Arf102F         +
Pdk1           qkr58E-2        -
Pdk1           CG4364          +
Pdk1           CG8801          +
Pdk1           RpS6            +
Pdk1           Hsc70-4         +
Pdk1           ebi             -
Pdk1           CG8963          +
Pdk1           T-cp1           +
Pdk1           alphaTub84D     +
Pdk1           Prp8            +
Pdk1           Parp            +
Pdk1           RpS3A           +
Pdk1           Tcp-1eta        +
Pdk1           Mcm7            -
Pdk1           Nopp140         -
Pdk1           CkIIbeta        -
Pdk1           Cdc5            +
Pdk1           RpL4            +
Pdk1           Hrb27C          -
Pdk1           RpS4            +
Pdk1           scrib           -
Pdk1           Ef1alpha48D     +
Pdk1           RpL10           +
Pdk1           RpL5            +
Pdk1           RpL8            +
Pdk1           SmB             +
Pdk1           CG13097         -
Pdk1           RpS3            +
Pdk1           RfC4            -
Pdk1           l(1)G0334       -
Pdk1           skap            +
Pdk1           Caf1            -
Pdk1           clu             -
Pdk1           Gnf1            +
Pdk1           RpL13A          +
Pdk1           Hsp83           +
Pdk1           nsl1            -
Pdk1           RpL14           +
Pdk1           Mi-2            +
Pdk1           Snr1            +
Pdk1           Lam             -
Pdk1           CG10754         +
Pdk1           betaTub60D      +
Pdk1           CG5641          +
Pdk1           Hlc             +
Pdk1           TfIIFbeta       +
Pdk1           RpL7A           +
Pdk1           Hrb98DE         -
Pdk1           wds             +
Pdk1           Tango4          +
Pten           qkr58E-3        -
Pten           beta'COP        -
Pten           Hsc70-3         -
Pten           Aats-glupro     -
Pten           alphaCOP        -
Pten           dom             -
Pten           RpL18A          +
Pten           alphaTub84D     -
Pten           mre11           +
Pten           Cdc5            -
Pten           Bap55           -
Pten           betaTub56D      -
Pten           CG10333         +
Pten           Rpd3            -
Pten           RpS8            -
Pten           CG7185          -
Pten           CG11107         -
Pten           Rs1             -
Pten           Hsc70-1         -
Pten           Zn72D           -
Pten           CG32479         -
Pten           pic             -
Pten           CG4364          -
Pten           RpL7            +
Pten           Hsc70-4         -
Pten           Cctgamma        -
Pten           T-cp1           -
Pten           cpa             +
Pten           CG3605          -
Pten           lig             +
Pten           RpS3A           -
Pten           AGO2            +
Pten           l(3)72Ab        -
Pten           14-3-3zeta      -
Pten           Rm62            -
Pten           RpL4            +
Pten           CG8142          -
Pten           RpL5            -
Pten           qkr58E-1        -
Pten           NAT1            -
Pten           nonA            -
Pten           Dsor1           -
Pten           SA              +
Pten           Hrb87F          +
Pten           MTA1-like       +
Pten           ptip            -
Pten           Ef1alpha100E    -
Pten           cindr           +
Pten           pont            -
Pten           Hrb98DE         +
Pten           RfC4            -
Pten           Nup98-96        -
Pten           wds             -
Pten           Tango4          -
sima           Nc73EF          +
sima           eIF3-S10        +
sima           eIF3-S8         +
sima           RpL35A          +
sima           alphaCOP        +
sima           beta'COP        +
sima           RpS13           +
sima           CG8636          +
sima           SmD1            +
sima           Hsc70-3         +
sima           RpL26           +
sima           RpS3            +
sima           noi             +
sima           polybromo       +
