source	target
TSC2	CCND1
PPP4C	BAT3
DNM2	ACTB
NFIL3	BATF
VCP	NFKBIA
SNRPA	BRD1
PDCD6IP	HCK
NDUFA2	NDUFB11
CCT8	RELA
COBRA1	FYN
SERF2	CHD3
S100A4	HBEGF
LAMP2	ADRB2
FAU	COPS6
P4HB	ELF3
P4HB	TAP1
PJA1	UBE2D2
NUDC	ELF3
FGFR1	CREBBP
GPS2	ATF4
SLC25A1	HLA-B
RNF10	GRB2
TRAPPC2L	LAP3
HMOX1	AKT1
ZNF512B	BRD1
NS2	AIMP2
STAT5B	CREBBP
HNRNPM	JUN
NR2F2	FAM46A
PTMA	CDK4
A2M	B2M
A2M	LRP1
ROCK2	NFKBIA
UBE2Z	PPP1CA
PNN	PDPK1
MIF	COPS6
DVL1	ATN1
SNF8	POLR2A
CHMP6	SNF8
CEBPB	ATF3
HGS	EGFR
HGS	GRB2
SQSTM1	EEF1G
SQSTM1	MAPK3
EZR	FADD
PSMD4	PSMB1
RPL18	RELA
CEBPG	BATF
CEBPG	ATF3
CEBPG	ATF4
WIPI2	COPS6
WIPI2	NUDC
WIPI2	DNM2
PRKAB1	CBR1
PRKAB1	ECHS1
HSPA1A	BAT3
HSPA1A	RELA
HSPA1A	FOS
HSPA1A	NFKBIA
RIN3	FYN
KIAA0182	XRCC6
UBE2V1	STUB1
MCL1	CALR
CLCN7	LAMP2
RHOA	FADD
CTBP2	ZNF512B
BAIAP2	ATN1
MCF2L	RAC1
MCF2L	RHOA
MCF2L	RABAC1
RRAS	RALGDS
AKAP2	GRB2
AKAP2	CRK
AKAP2	SRC
M2	RBPMS
EIF4ENIF1	BCL6
EPAS1	EGLN2
ACOT9	ICT1
TRAPPC3	TRAPPC2L
FASN	MAPK3
FASN	TRAPPC3
RHEB	TSC2
RHEB	EIF1B
RHEB	HRAS
RHEB	A2M
TSC22D3	RELA
VCL	PSMB1
PFKL	COPS6
PFKL	ATN1
PDIA3	TAP1
PSME1	VIM
PSME1	VCL
PSME1	EIF6
PSME1	SETDB1
PRPSAP1	ILK
PRPSAP1	CD2BP2
EEF1D	RELA
EEF1D	HLA-B
CDC42EP4	CDC42
PA	CHMP6
PA	NDUFS3
PA	ACOT9
PA	NCAPH2
PA	RNF5
PA	CDC42EP4
RARRES3	HRAS
GNAI2	EDNRA
TPM2	JUN
PECAM1	JUP
RNF126	BAT3
PSMB3	PSMB1
UBA1	ECHS1
UBA1	GRB2
UBA1	STUB1
HNRNPD	CD4
HNRNPD	ACTB
CCND1	IFI27
RPLP0	MAP1LC3B
QARS	EEF1G
QARS	CDK4
QARS	CDKN1A
QARS	ATP1A1
QARS	TSC22D1
QARS	IRF1
PKD1	JUP
PKD1	FYN
SEC61B	BAT3
HA	CREB3
TLE1	RELA
TLE1	ATN1
RPS2	CDKN1A
CBR1	DDA1
RAB4A	MAPK3
GMEB2	CREBBP
MUC1	JUP
NDUFB11	BAT3
AATF	RELA
GATA2	NR2F2
GATA2	JUN
STAT6	JUN
CIB1	IFI6
EDC4	CCL5
ZNF219	CDK4
HLA-B	LTA4H
HLA-B	CD81
HLA-B	ECHS1
HLA-B	PSMB1
HLA-B	CBR1
GLUL	HLA-B
C20orf30	CREB3
ZBTB16	BCL6
ZBTB16	HBEGF
ZBTB16	CD81
HEATR2	ZBTB16
RPA2	COPS6
RPA2	CREBBP
ARF1	EEF1G
B2M	TAP1
B2M	BAT3
SF3B4	FYN
EGLN2	FAM46A
PTPN1	NFKBIA
MALL	CAV1
PTPRF	JUP
MST1R	RELA
HSPA1B	NFKBIA
HSPA1B	FOS
HSPA1B	BAT3
HSPA1B	RELA
COPG	TAP1
COPG	KEAP1
COPG	PHB2
COPG	ARF1
COPG	HLA-B
ILK	PDPK1
ILK	ITGB2
ILK	PSMB1
ILK	COPG
TAGLN	PRKCD
TAGLN	ACTG1
FN1	COL4A2
ATP1A1	MAPK3
RPS14	RELA
RPS14	HLA-B
RPL28	C20orf30
TNFRSF1A	GRB2
TNFRSF1A	FYN
TNFRSF1A	FADD
TNFRSF1A	GNB2L1
SFN	COPS6
DTX2	EIF4ENIF1
DTX2	SFN
SREBF1	MAPK3
SREBF1	CREBBP
YWHAB	FOS
GLB1	FOS
BRD1	MT2A
EFEMP2	BAT3
AQP1	TRIP6
AQP1	EFEMP2
LRP1	CALR
LRP1	PLAUR
PHC2	CSNK2B
APH1A	ATF4
VDR	JUN
VDR	CREBBP
VDR	FOS
AXIN1	JUP
CHD3	TSC22D1
CHD3	HSF1
CHD3	CTBP1
CHD3	VIM
CHD3	SAT1
CHD3	BCL6
CHD3	JUN
RXRA	RELA
RARA	ZBTB16
RARA	CREBBP
SPG7	ELF3
LMNA	SREBF1
LMNA	FOS
LMNA	ACTB
LMNA	KAT5
LMNA	GRB2
VWF	ZNF512B
VWF	CALR
VWF	RAC1
BAG1	HBEGF
BAG1	STUB1
ERBB2	JUP
ERBB2	HLA-A
TRIP10	CREBBP
STAT3	SMARCA4
STAT3	HLA-A
STAT3	EGFR
STAT3	RELA
STAT3	KAT5
STAT3	JUN
STAT3	ERBB2
STAT3	IKBKB
STAT3	HCK
STAT3	CCND1
STAT3	PDIA3
STAT3	CREBBP
STAT3	PRKCD
STAT3	PTPN1
STAT3	MAPK3
STAT3	CAPN1
STAT3	SRC
MCC	CBR1
MCC	LTA4H
MCC	COPS6
MCC	CDK4
MCC	ECHS1
ICT1	HSPA1A
ICT1	HSPA1B
ICT1	PHB2
ICT1	MCC
LRPAP1	RALGDS
CNNM3	RELA
RBPMS	PB2
RBPMS	PB1
RBPMS	DAZAP2
RBPMS	ATN1
RBPMS	SERF2
RBPMS	SF1
RBPMS	AKAP2
RBPMS	TOLLIP
RBPMS	KIAA0182
RBPMS	EWSR1
RBPMS	DTX2
RBPMS	PALM2-AKAP2
RBPMS	FASTK
RBPMS	VWF
RBPMS	CNNM3
RAP2A	RALGDS
AKAP8L	RELA
PB2	RBPMS
PB2	CREB3
PB2	BHLHE40
IKBKB	RELA
IKBKB	CREBBP
IKBKB	NFKBIA
IKBKB	JUN
KEAP1	IRF1
KEAP1	FAM46A
DERL1	HLA-A
SUMO3	LRPAP1
SUMO3	VIM
RPS6KA2	CREBBP
RPS6KA2	JUN
RPS6KA2	FOS
HCK	PLAUR
JUND	BATF
POLR2A	EGLN2
POLR2A	CREBBP
ITGB2	PLAUR
TLN1	BRD1
TLN1	ITGB2
COL4A2	FAM46A
MSN	CD93
KDR	GRB2
KDR	CDH5
KDR	FYN
KDR	GNA11
KDR	SHC1
KDR	CAV1
KDR	SRC
KDR	CRK
CD2BP2	SNRPA
CD2BP2	P4HB
CD2BP2	EWSR1
CD2BP2	PRPF6
UBE2E3	STUB1
UBE2E3	NFKBIA
CDK4	CIB1
CDK4	IFI27
CDK4	BAT3
NCOR2	JUN
NCOR2	BCL6
NCOR2	NR2F2
NCOR2	ZBTB16
NCOR2	FOS
NCOR2	BAG1
NCOR2	RELA
NCOR2	SMARCA4
NCOR2	NFKBIA
NCOR2	CREBBP
NP	MAGED1
MYH9	CREBBP
ARHGDIA	JUP
ARHGDIA	FADD
PHB2	NR2F2
PHB2	JUP
LTBP4	ATN1
RAC1	VWF
RAC1	PRKCD
RAC1	GRN
RAC1	ARHGDIA
RAC1	ACTB
RAC1	BAT3
RAC1	BAIAP2
RAC1	DVL1
RAC1	STAT3
RAC1	LTBP3
RAC1	AKT1
RAC1	MYH9
RAC1	LTBP4
TSPAN4	CD9
TSPAN4	CD81
ITGAM	PLAUR
HLA-A	TAP1
POLR2E	FOS
POLR2C	ATF4
LTBP3	HBEGF
CDC25B	CREBBP
CALM1	RELA
CALM1	NFKBIA
CALM2	NFKBIA
CALM2	RELA
CALM3	NFKBIA
CALM3	RELA
DDX17	FOS
TOLLIP	ZBTB16
TOLLIP	IRAK1
TOLLIP	BHLHE40
ABL1	HCK
ABL1	JUN
ABL1	NFKBIA
ABL1	ITGB2
ABL1	FYN
ABL1	TERT
MYL6	ACTB
ECHS1	DDA1
CD4	CD81
SMARCA4	ATF3
SMARCA4	ACTB
SMARCA4	JUNB
SMARCA4	BCL6
SMARCA4	CREBBP
SMARCA4	KLF4
SMARCA4	IRF1
PABPN1	SMARCA4
TSC22D1	COPG
TSC22D1	QARS
TSC22D1	BAT3
TSC22D1	PSMB1
TSC22D1	VIM
PSMB1	PSMB9
EIF6	GNB2L1
EIF6	CBR1
EIF6	CSNK2B
EIF6	PSMB1
C12orf44	COPG
RRAS2	XRCC6
RRAS2	RALGDS
RRAS2	PTPN1
RABAC1	HRAS
RABAC1	RIN3
RABAC1	VIM
RABAC1	RRAS2
PRPF6	EEF1G
TRIM28	SMARCA4
TRIM28	MAP1LC3B
TRIM28	VIM
TRIM28	CEBPB
TRIM28	HLA-B
TRIM28	SPG7
TRIM28	CREBBP
TRIM28	CHD3
SETDB1	CDKN1A
SETDB1	TSC22D1
SETDB1	CDK4
SETDB1	UBE2I
SETDB1	GPS2
SETDB1	SAT1
SETDB1	VIM
SETDB1	AKT1
SETDB1	BAT3
SETDB1	TRIM28
FADD	RALGDS
IRAK1	HRAS
IRAK1	SQSTM1
IRAK1	JUN
IRAK1	AKT1
IRAK1	ITGAM
IRAK1	FADD
CD81	IFITM1
CSNK2B	TLE1
CSNK2B	EIF6
CSNK2B	NFKBIA
CSNK2B	RPL13
CSNK2B	RPS6KA2
CSNK2B	ACTB
CSNK2B	EIF1B
CSNK2B	BAT3
CSNK2B	PRKCZ
CSNK2B	GLB1
CSNK2B	RXRA
CSNK2B	CDK9
CSNK2B	CDKN1A
CSNK2B	IKBKB
CSNK2B	COL4A2
CSNK2B	CDC25B
CSNK2B	C12orf44
CSNK2B	CD81
CEBPA	CDK4
PALM2-AKAP2	GRB2
PALM2-AKAP2	CRK
PALM2-AKAP2	SRC
KAT5	KLF4
KAT5	EDNRA
KAT5	CREBBP
UPF1	EDC4
UPF1	POLR2A
UPF1	TERT
MAPK3	JUND
MAPK3	JUN
MAPK3	RALGDS
PPP1CA	AXIN1
PPP1CA	GRB2
PPP1CA	IKBKB
PPP1CA	CDK4
PPP1CA	TRIM28
PPP1CA	BCL2L1
PPP1CA	VDR
PPP1CA	AKT1
PPP1CA	CD2BP2
PPP1CA	PRKCD
PPP1CA	MAPK3
JUNB	BATF
SAT1	COPS6
SAT1	RELA
SAT1	JUNB
SDC4	CCL5
BCAP31	HLA-B
BCAP31	HLA-A
BCAP31	MSN
BCAP31	SEC61B
BCAP31	BCL2L1
DAZAP2	TCF7L2
DAZAP2	SQSTM1
DAZAP2	STAT6
DAZAP2	CDK4
DAZAP2	COL4A2
RALGDS	CD68
FBLN1	EDC4
FBLN1	HBEGF
FBLN1	TCF7L2
CAV1	LRP1
CAV1	MAPK3
CAV1	HRAS
CAV1	FYN
CAV1	EDNRB
MAGED1	COPG
MAGED1	TRIM28
MAGED1	SLC25A1
MAGED1	PJA1
MAGED1	HSPB1
MAGED1	CD2BP2
MAGED1	HEATR2
MAGED1	WIPI2
MAGED1	TOLLIP
MAGED1	AKAP8L
MAGED1	AATF
MAGED1	IRAK1
MAGED1	DAZAP2
MAGED1	BAT3
SMARCC2	CREBBP
ATF4	NFKBIA
ATF4	BATF
MAP1LC3B	KEAP1
MAP1LC3B	ACTB
MAP1LC3B	EEF1G
MAP1LC3B	JUP
FOS	BATF
BCL3	PSMB1
BCL3	FOS
BCL3	RELA
BCL3	FYN
BCL3	CREBBP
BCL3	JUN
SMAD1	STUB1
SMAD1	RAP2A
SMAD1	CREBBP
FASTK	CRK
TGM2	ATF4
TGM2	NFKBIA
TGM2	RELA
CTBP1	CREBBP
CTBP1	KLF4
TERT	RELA
TERT	CIB1
XRCC6	PDPK1
XRCC6	RRAS2
XRCC6	TERT
TAF11	RELA
NDUFS3	NDUFA2
NDUFS3	ICT1
NDUFS3	PHB
AKT1	PDPK1
AKT1	CREBBP
AKT1	ACTB
AKT1	TERT
AKT1	EEF1G
BBS1	KEAP1
SIAH1	ATN1
SIAH1	UBE2E3
SIAH1	STAT3
SIAH1	MYD88
SIAH1	UBE2D2
SIAH1	PHC2
SIAH1	BAG1
SIAH1	EEF1D
SIAH1	PKD1
SIAH1	RARA
PB1	RBPMS
PB1	TRIP6
PB1	BHLHE40
PB1	UBE2I
PB1	SIAH1
ELF3	ISG15
ELF3	JUN
CREBBP	JUNB
CREBBP	JUN
CREBBP	BCL6
CREBBP	ATF3
CREBBP	ATF4
CREBBP	FOS
CREBBP	IRF1
CREBBP	IRF9
CREBBP	KLF4
CREBBP	ELF3
CCL5	RELA
EIF1B	MIF
EIF1B	CALM1
EIF1B	CALM2
EIF1B	CALM3
EIF1B	CALR
EIF1B	FAU
EIF1B	CBR1
EIF1B	RHEB
EIF1B	ECHS1
EIF1B	PSMB3
EIF1B	CSNK2B
RPL36	GRB2
RPL36	EIF1B
BHLHE40	TAGLN
BHLHE40	TOLLIP
BHLHE40	FBLN1
BHLHE40	VIM
BHLHE40	STAT3
BHLHE40	PB1
BHLHE40	SETDB1
BHLHE40	APH1A
BHLHE40	CHD3
BHLHE40	UBE2I
BHLHE40	EEF1G
TRIM27	ZBTB16
UBE2I	GMEB2
UBE2I	RNF10
UBE2I	EIF1B
UBE2I	HGS
UBE2I	CHD3
UBE2I	EIF6
UBE2I	PNN
UBE2I	TSC22D1
UBE2I	NCOR2
UBE2I	SUMO3
UBE2I	JUN
UBE2I	SETDB1
UBE2I	BHLHE40
UBE2I	SIAH1
UBE2I	UBA1
UBE2I	TNFRSF1A
UBE2I	PB1
UBE2I	CTBP2
UBE2I	CTBP1
UBE2I	TSC22D3
UBE2I	LMNA
UBE2I	RARRES3
UBE2I	HNRNPD
UBE2I	GLUL
UBE2I	SREBF1
UBE2I	TCF7L2
UBE2I	HSPB1
UBE2I	TRIM27
CDH5	JUP
VIM	PECAM1
VIM	CD4
VIM	MAP1LC3B
VIM	GRB2
VIM	ATN1
VIM	PKD1
VIM	COPS6
VIM	RELA
VIM	CAPN1
VIM	ACTB
VIM	BRD1
VIM	CDH5
CRK	RRAS
CRK	FYN
CRK	CD93
NA	CREB3
HSPB1	NFKBIA
HSPB1	EGFR
HSPB1	HNRNPD
HSPB1	AKT1
HSPB1	PRKCD
HSPB1	MAP1LC3B
HSPB1	HSF1
HSPB1	GRB2
MYO1F	IRF9
SHC1	ERBB2
SHC1	FGFR1
SHC1	ILK
SHC1	BCL3
SHC1	SRC
SHC1	STAT5B
SHC1	EGFR
SHC1	GRB2
SHC1	HSPA1B
SHC1	HSPA1A
SHC1	LRP1
SHC1	MST1R
SHC1	PRKCD
SHC1	ABL1
SHC1	CDH5
SHC1	CD81
SHC1	FYN
SHC1	PPAP2B
GTF2F1	FOS
GTF2F1	JUN
PHB	SMARCA4
PHB	PTMA
PHB	RELA
PHB	ACTB
PHB	MAP1LC3B
PHB	YWHAB
PHB	CD4
PHB	PHB2
PHB	GTF2F1
BCL2L1	ACTB
BCL2L1	CAPN1
BCL2L1	PPP1CA
BCL2L1	ABL1
BCL2L1	ZNF219
BCL2L1	CLU
BCL2L1	KEAP1
BCL2L1	BAG1
BCL2L1	CREB3
IRF1	KEAP1
IRF1	IRF9
IRF9	IRF1
POLR2G	POLR2A
POLR2G	POLR2E
POLR2G	POLR2C
POLR2G	EWSR1
