source	target	sign
N0 N56 -
N0 N169 +
N0 N27 +
N0 N230 -
N0 N239 +
N1 N147 +
N1 N141 +
N2 N193 -
N2 N148 +
N2 N37 +
N3 N80 -
N3 N112 +
N3 N156 +
N3 N173 +
N3 N31 -
N4 N35 +
N4 N172 -
N4 N38 +
N5 N211 +
N5 N227 -
N8 N149 -
N8 N18 -
N8 N82 +
N8 N29 +
N8 N63 +
N9 N204 -
N10 N168 -
N10 N29 -
N11 N20 -
N11 N222 -
N12 N59 +
N13 N57 +
N14 N2 +
N14 N188 +
N14 N194 +
N15 N178 +
N15 N117 +
N15 N125 +
N16 N42 -
N16 N239 -
N18 N68 +
N19 N168 +
N19 N105 +
N19 N217 +
N20 N249 +
N20 N163 +
N20 N151 +
N21 N56 -
N21 N97 +
N21 N146 -
N21 N11 +
N21 N99 +
N22 N96 +
N22 N169 -
N22 N90 -
N22 N203 +
N22 N76 -
N22 N207 -
N23 N97 +
N23 N250 -
N23 N227 +
N24 N15 +
N25 N112 -
N25 N178 -
N26 N20 +
N26 N213 +
N26 N119 +
N26 N164 +
N26 N28 -
N26 N157 -
N26 N142 +
N26 N229 -
N27 N36 -
N27 N29 +
N27 N143 +
N28 N24 -
N28 N88 +
N28 N67 +
N28 N84 -
N28 N63 +
N29 N83 -
N29 N163 +
N29 N198 -
N29 N227 +
N30 N89 -
N30 N23 +
N31 N144 -
N31 N175 -
N31 N109 +
N31 N246 -
N31 N159 -
N32 N57 -
N32 N94 +
N33 N217 -
N34 N113 -
N34 N39 -
N35 N50 -
N35 N3 +
N35 N135 +
N36 N119 -
N37 N90 +
N37 N76 -
N37 N186 -
N38 N75 +
N38 N78 +
N39 N231 -
N40 N211 +
N40 N101 +
N41 N80 +
N41 N50 -
N41 N203 -
N41 N199 +
N41 N57 -
N41 N43 +
N42 N6 -
N43 N74 -
N43 N108 +
N43 N37 +
N44 N252 -
N45 N241 +
N45 N234 -
N46 N107 +
N46 N150 +
N47 N17 -
N47 N186 -
N47 N67 -
N47 N254 -
N48 N11 +
N48 N143 -
N48 N127 +
N49 N11 +
N49 N22 -
N50 N88 +
N50 N62 +
N50 N14 -
N50 N166 +
N51 N193 +
N53 N75 +
N54 N72 -
N54 N128 -
N54 N13 +
N55 N112 -
N55 N33 +
N55 N162 +
N57 N41 +
N57 N116 +
N57 N47 +
N58 N178 +
N58 N43 -
N58 N156 +
N58 N118 -
N59 N2 -
N59 N167 -
N61 N145 -
N61 N27 -
N61 N166 +
N61 N46 +
N62 N112 +
N63 N210 -
N63 N189 +
N64 N148 -
N65 N210 -
N65 N162 +
N65 N186 -
N66 N30 +
N66 N55 +
N67 N47 -
N68 N81 -
N68 N218 -
N68 N134 +
N68 N94 +
N68 N231 +
N69 N25 -
N70 N180 -
N70 N108 +
N70 N109 -
N70 N46 -
N71 N22 +
N72 N112 -
N72 N115 +
N72 N230 -
N73 N136 +
N73 N224 -
N73 N230 -
N74 N249 -
N76 N185 -
N76 N146 +
N76 N12 -
N76 N142 +
N76 N110 +
N77 N10 -
N77 N212 +
N77 N158 +
N77 N54 -
N78 N121 +
N78 N210 -
N79 N144 -
N79 N81 -
N79 N61 -
N79 N31 -
N80 N96 -
N80 N186 +
N80 N156 +
N80 N122 -
N81 N20 -
N81 N149 -
N81 N197 -
N82 N196 -
N83 N56 +
N83 N19 +
N83 N156 +
N83 N222 -
N84 N162 -
N84 N142 +
N84 N54 -
N84 N239 -
N85 N98 +
N85 N69 +
N86 N133 -
N87 N48 +
N87 N88 +
N87 N113 +
N88 N104 +
N89 N128 +
N89 N10 -
N90 N96 -
N90 N227 -
N91 N107 -
N91 N254 +
N91 N86 -
N92 N113 +
N92 N50 +
N92 N246 +
N92 N185 +
N93 N225 -
N94 N75 +
N94 N139 +
N94 N238 -
N95 N214 +
N95 N212 +
N95 N238 -
N95 N78 -
N96 N59 -
N96 N6 +
N97 N164 +
N97 N69 +
N97 N62 -
N98 N57 -
N98 N34 -
N98 N106 +
N98 N22 +
N98 N223 -
N99 N56 -
N99 N58 -
N100 N124 -
N101 N72 -
N101 N104 +
N101 N251 +
N101 N216 +
N101 N217 +
N102 N162 +
N102 N22 -
N102 N15 +
N103 N145 +
N103 N27 +
N103 N131 -
N103 N62 +
N104 N178 +
N104 N99 -
N104 N149 +
N104 N6 +
N104 N227 -
N104 N125 +
N104 N211 +
N105 N170 -
N105 N163 +
N105 N188 -
N105 N218 +
N106 N48 +
N106 N142 +
N106 N8 -
N106 N139 +
N106 N60 -
N106 N30 +
N107 N208 +
N107 N4 +
N107 N222 -
N108 N57 -
N108 N19 +
N108 N62 -
N108 N129 +
N109 N72 -
N109 N224 -
N109 N76 -
N109 N236 +
N110 N224 -
N110 N17 -
N110 N148 -
N111 N228 -
N112 N143 +
N113 N161 +
N113 N39 -
N115 N146 +
N115 N165 -
N116 N164 -
N116 N68 -
N116 N12 -
N117 N194 -
N117 N131 -
N117 N116 -
N118 N195 -
N119 N6 -
N119 N38 -
N119 N120 -
N119 N25 +
N119 N138 +
N119 N59 -
N119 N204 -
N119 N197 -
N120 N105 -
N120 N132 -
N120 N68 +
N120 N233 -
N121 N250 +
N121 N253 -
N121 N143 -
N123 N137 -
N123 N225 -
N124 N116 -
N124 N142 -
N125 N233 +
N125 N180 +
N126 N80 -
N126 N128 +
N126 N44 +
N127 N256 +
N127 N121 +
N127 N226 +
N128 N88 -
N128 N251 +
N128 N133 +
N129 N178 +
N129 N3 +
N130 N208 -
N130 N119 -
N131 N235 -
N131 N244 +
N132 N177 +
N132 N142 +
N132 N23 +
N133 N40 +
N133 N111 +
N134 N16 -
N134 N155 +
N135 N192 +
N135 N142 +
N135 N231 +
N136 N52 +
N137 N139 +
N138 N65 -
N138 N233 +
N139 N81 -
N139 N164 +
N140 N31 +
N141 N161 +
N141 N178 +
N141 N35 +
N141 N106 +
N141 N108 +
N141 N30 +
N142 N17 +
N142 N234 +
N142 N243 -
N143 N16 +
N143 N231 -
N143 N223 -
N144 N256 +
N145 N115 -
N146 N19 +
N146 N84 +
N146 N54 -
N146 N199 +
N146 N72 -
N146 N4 -
N146 N14 +
N147 N187 -
N147 N44 -
N147 N205 -
N148 N176 -
N148 N11 -
N149 N0 -
N149 N129 +
N149 N219 +
N150 N137 +
N150 N236 -
N150 N14 +
N150 N15 -
N151 N203 +
N151 N236 -
N151 N243 -
N152 N219 +
N153 N149 -
N153 N181 -
N154 N201 -
N154 N179 +
N154 N205 -
N155 N21 -
N155 N189 -
N156 N127 -
N156 N119 +
N157 N41 +
N157 N83 -
N157 N239 +
N158 N229 +
N158 N255 +
N159 N176 -
N159 N248 -
N159 N82 -
N159 N215 +
N159 N120 -
N159 N89 -
N159 N122 +
N159 N110 -
N160 N99 +
N160 N6 -
N160 N167 +
N161 N169 -
N161 N174 +
N161 N86 +
N162 N1 -
N162 N37 +
N162 N94 -
N162 N150 +
N163 N32 -
N163 N2 -
N163 N42 -
N163 N205 +
N164 N107 -
N164 N102 +
N165 N1 -
N165 N69 +
N166 N184 +
N167 N72 +
N168 N1 -
N169 N202 +
N169 N100 +
N170 N180 +
N170 N30 -
N170 N47 -
N171 N83 -
N171 N228 -
N171 N44 -
N171 N90 +
N171 N172 +
N171 N237 +
N172 N24 +
N172 N99 +
N173 N128 -
N173 N108 +
N173 N28 -
N174 N224 -
N175 N124 +
N176 N112 +
N176 N152 -
N176 N217 +
N177 N72 +
N177 N19 +
N177 N21 -
N177 N47 -
N178 N191 +
N179 N39 -
N180 N80 -
N180 N50 -
N180 N117 -
N180 N71 +
N180 N12 +
N180 N146 +
N181 N132 -
N181 N1 +
N181 N66 +
N181 N123 -
N181 N52 -
N182 N151 -
N183 N243 -
N183 N142 +
N183 N7 -
N184 N224 +
N184 N59 -
N184 N86 +
N184 N78 +
N184 N134 +
N185 N177 +
N185 N67 +
N185 N244 +
N185 N15 +
N186 N40 +
N186 N250 -
N187 N99 +
N188 N220 +
N188 N79 +
N189 N3 +
N189 N180 -
N189 N229 +
N189 N41 +
N189 N123 +
N189 N255 -
N189 N239 -
N190 N245 -
N191 N218 -
N191 N227 -
N191 N212 +
N192 N249 +
N192 N158 +
N194 N56 +
N194 N134 +
N195 N123 -
N195 N75 -
N195 N140 +
N195 N187 -
N195 N191 +
N196 N212 -
N196 N50 -
N196 N188 +
N196 N221 -
N197 N186 -
N197 N11 +
N197 N100 -
N197 N5 -
N197 N174 -
N198 N208 -
N198 N65 +
N198 N83 +
N198 N131 +
N198 N191 -
N199 N192 -
N199 N139 +
N200 N112 +
N200 N226 +
N201 N192 -
N201 N237 -
N201 N247 +
N202 N51 -
N202 N91 -
N202 N19 -
N202 N130 +
N203 N73 +
N203 N91 -
N203 N101 -
N204 N64 +
N204 N169 +
N204 N200 -
N205 N12 -
N205 N101 -
N205 N46 +
N206 N32 -
N206 N224 +
N207 N32 +
N207 N76 -
N209 N82 +
N209 N35 +
N209 N76 +
N209 N39 +
N210 N244 -
N210 N156 -
N211 N82 -
N211 N19 +
N211 N77 -
N211 N203 -
N211 N23 +
N212 N203 +
N212 N70 +
N212 N15 +
N213 N178 -
N213 N195 +
N213 N150 -
N213 N90 +
N213 N139 -
N213 N242 -
N215 N18 -
N215 N116 +
N215 N198 +
N216 N96 -
N216 N85 +
N216 N158 -
N219 N115 -
N219 N73 +
N219 N217 +
N219 N74 +
N219 N71 -
N219 N127 +
N220 N8 -
N220 N54 +
N220 N254 -
N220 N246 +
N221 N232 -
N221 N41 +
N221 N235 -
N221 N52 +
N222 N157 -
N222 N176 -
N222 N114 +
N222 N90 +
N222 N155 +
N222 N77 +
N222 N31 -
N224 N226 -
N224 N179 +
N224 N220 +
N225 N5 +
N226 N120 +
N226 N130 -
N226 N134 -
N226 N126 +
N227 N75 +
N227 N171 +
N229 N44 +
N229 N173 -
N230 N121 -
N230 N255 -
N230 N149 +
N230 N165 +
N230 N153 -
N231 N73 +
N231 N18 +
N231 N11 +
N231 N66 -
N231 N182 -
N232 N208 +
N232 N230 +
N233 N192 +
N235 N240 -
N235 N58 -
N235 N253 -
N235 N74 -
N235 N245 -
N236 N88 -
N236 N26 -
N236 N90 +
N237 N74 +
N238 N146 +
N238 N143 -
N239 N92 +
N239 N149 -
N239 N167 -
N240 N65 +
N240 N58 -
N240 N44 +
N242 N0 -
N242 N201 -
N242 N83 -
N242 N256 +
N243 N97 -
N243 N235 -
N243 N76 -
N243 N181 +
N244 N200 +
N244 N145 +
